"";"data";"lugar";"media_historica_do_mes";"pluviometria_acumulada_no_mes";"pluviometria_do_dia";"volume_armazenado"
"1";"2004-10-14";"sistemaAltoTiete";116;48,5;25,5;0,263
"2";"2004-10-14";"sistemaCantareira";131,4;61,2;17,1;0,303
"3";"2004-10-14";"sistemaCotia";122,4;21,3;6,9;0,24
"4";"2004-10-14";"sistemaGuarapiranga";118;5,5;0,4;0,287
"5";"2004-10-14";"sistemaRioClaro";178,9;100,9;28,9;0,798
"6";"2004-10-14";"sistemaRioGrande";138,1;25,8;8,9;0,779
"7";"2004-10-15";"sistemaAltoTiete";116;51;2,5;0,264
"8";"2004-10-15";"sistemaCantareira";131,4;64,4;3,2;0,303
"9";"2004-10-15";"sistemaCotia";122,4;22;0,7;0,239
"10";"2004-10-15";"sistemaGuarapiranga";118;22,5;17;0,286
"11";"2004-10-15";"sistemaRioClaro";178,9;103,9;3;0,799
"12";"2004-10-15";"sistemaRioGrande";138,1;30,8;5;0,778
"13";"2004-10-16";"sistemaAltoTiete";116;57,9;6,9;0,264
"14";"2004-10-16";"sistemaCantareira";131,4;75,6;11,3;0,303
"15";"2004-10-16";"sistemaCotia";122,4;31,8;9,8;0,24
"16";"2004-10-16";"sistemaGuarapiranga";118;28,9;6,4;0,284
"17";"2004-10-16";"sistemaRioClaro";178,9;109,7;5,8;0,799
"18";"2004-10-16";"sistemaRioGrande";138,1;37,9;7,1;0,778
"19";"2004-10-17";"sistemaAltoTiete";116;61,8;3,8;0,264
"20";"2004-10-17";"sistemaCantareira";131,4;78;2,4;0,302
"21";"2004-10-17";"sistemaCotia";122,4;53,6;21,8;0,242
"22";"2004-10-17";"sistemaGuarapiranga";118;32,3;3,4;0,285
"23";"2004-10-17";"sistemaRioClaro";178,9;118,2;8,5;0,798
"24";"2004-10-17";"sistemaRioGrande";138,1;51,9;14;0,778
"25";"2004-10-18";"sistemaAltoTiete";116;72,8;11;0,264
"26";"2004-10-18";"sistemaCantareira";131,4;98,3;20,3;0,304
"27";"2004-10-18";"sistemaCotia";122,4;55,1;1,5;0,246
"28";"2004-10-18";"sistemaGuarapiranga";118;49,9;17,6;0,288
"29";"2004-10-18";"sistemaRioClaro";178,9;125,8;7,6;0,802
"30";"2004-10-18";"sistemaRioGrande";138,1;60;8,1;0,782
"31";"2004-10-19";"sistemaAltoTiete";116;75,4;2,6;0,264
"32";"2004-10-19";"sistemaCantareira";131,4;106,5;8,2;0,303
"33";"2004-10-19";"sistemaCotia";122,4;77,2;22,1;0,251
"34";"2004-10-19";"sistemaGuarapiranga";118;69,3;19,4;0,292
"35";"2004-10-19";"sistemaRioClaro";178,9;129,6;3,8;0,803
"36";"2004-10-19";"sistemaRioGrande";138,1;78,5;18,5;0,787
"37";"2004-10-20";"sistemaAltoTiete";116;78,1;2,7;0,264
"38";"2004-10-20";"sistemaCantareira";131,4;115,1;8,6;0,305
"39";"2004-10-20";"sistemaCotia";122,4;80,6;3,4;0,255
"40";"2004-10-20";"sistemaGuarapiranga";118;70,3;1;0,298
"41";"2004-10-20";"sistemaRioClaro";178,9;161,4;31,8;0,834
"42";"2004-10-20";"sistemaRioGrande";138,1;88,1;9,6;0,793
"43";"2004-10-21";"sistemaAltoTiete";116;78,3;0,1;0,264
"44";"2004-10-21";"sistemaCantareira";131,4;115,6;0,5;0,303
"45";"2004-10-21";"sistemaCotia";122,4;81,3;0,7;0,258
"46";"2004-10-21";"sistemaGuarapiranga";118;70,3;0;0,3
"47";"2004-10-21";"sistemaRioClaro";178,9;165,6;4,2;0,845
